name,client_name,description,date_or_year
Rental Property,,"gem - wicked pdf, json",2017
Spina CMS,,"xcell science lab, gem - spina cms",2017
Comebuysell auto parts,,automobile parts sell,2017
Daisy,,"medical research,  Study on a topic,  have patient physician on a study",
Rotessa -,,"Payment gateway, auto deduct payment on schedule",2018
Opentrack,,"online sell policy insurance, gem - PDF generation, Grav CMS (php)",2018
Zinkick,,"Twilio calling app, work - Twilio (browser call, recording play in conference, twiml)",2018
SellerChamp,ncube - nizar,"manage ecomm on all marketplace (ebay, amazon)",2019
contakti,Esa Lahtinen,Chat application bw user and client/ Agent.,2019
Bombable,Jimmy Boykin,Basic new app for create disc,2019
Padlist and TCS Inspect,Lucas Minissale,rental application for get room,2019
BitMob,Rob Patrick,update to gitlab version 12.2,2019
Rotessa,Joe,,2019
ReviewShake,philip,"review website, scraping review",2019
ProgessTool,Victor,"Show my progress, project manage",2019
careTrak,nadya,create engine,2019
Avogadro,,Create source,2019
Utrum,,Api,2019
Red Sequoia,ben schulkin,,2019
Clear Accessip,Omar,Check registered pattern,2020
LinkWav,Chris Milnes,Provide net connectivity over sea,2020
AIcrowd,SP mohanty,Create challenge for participants.,2020
Makerble,matt,"Charity, project survey application.",2020
Surventix,Ben,Survey application,2021
Material Market ,Kate,E-comm for Raw material,2021
FoodCircle,Flavio,Sell organic food products,2021
Rihno,,security deposit alternative,2021
FixMyCar,,Car servicing API,2021
GoGrow,Franco,Integrate API's to list products,2021
CFM.mobi,Rufat/Murtaza,Gaming platforms,2021
BioMark,Anthony,"Dr plateform, lab patients management",2021
WhiteLable,Tim,,2021
UserBrain,Mcllum,,2021
SpaceOS,Jessica Mahon /Piotr Barczuk,Co-working space managment,2021
Fjord,,Manager create shift of employees,2021
One Great Studio,Omar/Keezia,Payment API app,2022
Nologo,plantalist,Content managment,2022
Zibble UK,Arjun/ Rahul,Rental app,2022
Mro-Pro : Digiryte,"Harish, Sahana, Scott",AirCraft managment,2022
ECI: programmer.io ,"Nicolas, Ilma, Arvind",House Construction Scheduling,2022
Ugenie: V7,"Narendra, Rares","membership businesses to build, grow and engage with their communities by bringing together",2022
